Company name,LA type,Start date,End date
AURORA DAIRIES PTY LTD,South Australia Regional DAMA,01-Mar-2023,29-Feb-2028
Aussie pride produce pty ltd,Industry - Horticulture,04-Oct-2022,03-Oct-2027
AUSTRALIAN BRANDS ALLIANCE PTY LTD,Company Specific,19-Dec-2022,18-Dec-2027
AUSTRALIAN FOOD GROUP PTY LTD,Industry - Pork,28-Sep-2021,27-Sep-2026
AUSTRALIAN LAMB (COLAC) PTY LTD,Industry - Meat,06-May-2021,05-May-2026
AUSTRALIAN REGIONAL AND REMOTE COMMUNITY SERVICES LIMITED,Northern Territory DAMA,29-Nov-2022,28-Nov-2027
AUSTWAY INVESTMENTS PTY LTD,Company Specific,27-Oct-2022,26-Oct-2027
Ausvision Meat Processors Pty Ltd,Industry - Meat,30-Sep-2022,29-Sep-2027
AUTO & GENERAL HOLDINGS PTY LTD,Skilled Refugee Pilot,03-Jan-2023,02-Jan-2028
AUZZIEEYE PTY LTD,East Kimberley DAMA,14-Dec-2022,13-Dec-2027
B.P. Kelleher Fishing Services Pty. Ltd.,Industry - Fishing,07-Nov-2022,06-Nov-2027
BABATJIE HOLDINGS PTY LTD,Northern Territory DAMA,22-Dec-2022,21-Dec-2027
BAIADA FARMS PTY LIMITED,South Australia Regional DAMA,15-Dec-2022,14-Dec-2027
Bamboo Creek Farming Pty Ltd,Far North Queensland DAMA,15-Sep-2022,14-Sep-2027
Banksia Gardens Association Incorporated,Skilled Refugee Pilot,26-Aug-2022,25-Aug-2027
Barlin Pty Ltd T/A Coastal Hydroponics,Industry - Horticulture,13-Oct-2022,12-Oct-2027
BARRY K DOBRA; KEVAN M DOBRA AND MAUREEN C DOBRA ATF KBM GARDEN TRUST,Industry - Horticulture,18-Nov-2022,17-Nov-2027
BE Campbell Services Pty Ltd,Industry - Meat,08-Jul-2022,07-Jul-2027
BE CLEANED GROUP PTY LTD,Skilled Refugee Pilot,24-Nov-2022,23-Nov-2027
Benchmark Landscape Group Pty Ltd,Far North Queensland DAMA,06-Dec-2022,05-Dec-2027
BERRYSON PTY LTD,Industry - Dairy,17-Nov-2022,16-Nov-2027
BET Group Global Pty. Ltd.,South Australia Regional DAMA,01-Nov-2022,31-Oct-2027
Beverly Group Pty Ltd,Company Specific,12-Oct-2022,11-Oct-2027
BLUFF KNOLL AUTO PTY LTD,Pilbara DAMA,14-Dec-2022,13-Dec-2027
Blushing Acres Packing Pty Ltd,Far North Queensland DAMA,25-Oct-2022,24-Oct-2027
BMF Advertising Pty Ltd,Industry - Advertising,05-Dec-2022,04-Dec-2027
BONACCORD QUALITY PRODUCE CO PTY LTD,Industry - Horticulture,21-Nov-2022,19-Nov-2027
BRAITLING NEIGHBOURHOOD CENTRE INC,Northern Territory DAMA,08-Sep-2021,07-Sep-2026
Bruce Hartwig Flying School Pty Ltd,South Australia Regional DAMA,03-Jan-2023,02-Jan-2028
BULLA MUSHROOMS (AUST) PTY LTD,Industry - Horticulture,20-Sep-2022,19-Sep-2027
Burger Urge Pty Ltd,Northern Territory DAMA,06-Oct-2022,05-Oct-2027
Busy Bees Australia Employer Pty Ltd,Far North Queensland DAMA,08-Dec-2022,07-Dec-2027
Busy Bees Australia Employer Pty Ltd,Goldfields DAMA,24-Nov-2022,23-Nov-2027
Bute Times! Pty Ltd,South West DAMA,21-Dec-2022,20-Dec-2027
C & R DENTAL PTY LTD,South Australia Regional DAMA,06-Dec-2022,05-Dec-2027
C.D MINSON & C.N MINSON,Industry - Dairy,05-Sep-2022,04-Sep-2027
Cairns Boatshed Pty Ltd,Far North Queensland DAMA,22-Nov-2022,21-Nov-2027
Cairns Property Shop Pty Ltd,Far North Queensland DAMA,21-Nov-2022,20-Nov-2027
CAMPASPE SHIRE COUNCIL,Goulburn Valley DAMA,29-Sep-2022,28-Sep-2027
CARRIER ELECTRICAL SERVICES (AUST) PTY LTD,Company Specific,13-Dec-2022,12-Dec-2027
Carroll Bros Fishing Pty Ltd,Industry - Fishing,07-Nov-2022,06-Nov-2027
CHATEAU WOOD PTY LTD,Northern Territory DAMA,05-Aug-2022,04-Aug-2027
Childrens Integrated Management Services Ltd,Northern Territory DAMA,28-Oct-2022,27-Oct-2027
Chiorino Australia Pty Ltd,Company Specific,02-Dec-2022,01-Dec-2027
Ciyu Confucian Culture Association Inc,Industry - Minister of Religion,12-Dec-2022,11-Dec-2027
CM Chapman & FA Chapman & Chapman Family Farms Trust,South Australia Regional DAMA,11-Aug-2022,10-Aug-2027
Collie Pizza Pty Ltd,South West DAMA,03-Jan-2023,02-Jan-2028
Comfresh Pty Ltd,South Australia Regional DAMA,13-Dec-2022,12-Dec-2027
Connect Personnel Medical Pty Ltd,Industry - On-Hire,05-Dec-2022,04-Dec-2027
Cooinda Terang Inc,Great South Coast DAMA,04-Oct-2022,03-Oct-2027
Crystal Gardon Pty Ltd,Far North Queensland DAMA,06-Dec-2022,05-Dec-2027
D&M SEAFOODS PTY LTD,Industry - Fishing,18-Oct-2022,17-Oct-2027
D.R & J FABBRIS PTY LTD,Industry - Meat,21-Sep-2022,20-Sep-2027
Darley Group Pty Ltd,Industry - On-Hire,09-Nov-2022,08-Nov-2027
DARREN TROY BISHOP AND MELISSA ANN BISHOP,South Australia Regional DAMA,20-Apr-2022,19-Apr-2027
Department of Health Qld,GTS - Established business,21-Apr-2021,20-Apr-2026
DERBY INDUSTRIES PTY LTD,Industry - Meat,28-Oct-2021,27-Oct-2026
DETMOLD AUSTRALIA SALES PTY LTD,South Australia Regional DAMA,10-Oct-2022,09-Oct-2027
DICUGIN PTY LTD,Industry – Premium Dining,15-Aug-2022,14-Aug-2027
Dorglen Pty Ltd,Industry - Horticulture,22-Aug-2022,21-Aug-2027
Duxton Bees Pty Ltd,South Australia Regional DAMA,20-Dec-2022,19-Dec-2027
Duxton Viticulture Pty Ltd,Industry - Horticulture,03-Jan-2023,02-Jan-2028
EARLY AUTISM SERVICES (AUSTRALIA) PTY LTD,Company Specific,01-Dec-2022,30-Nov-2027
Elliminyt Investments Pty Ltd,Great South Coast DAMA,22-Dec-2022,22-Dec-2027
Employ me Pty Ltd,Industry - On-Hire,09-Nov-2022,08-Nov-2027
EP STRAWBERRIES PTY LTD,Industry - Horticulture,07-May-2021,06-May-2026
Etheridge Shire Council,Far North Queensland DAMA,14-Nov-2022,13-Nov-2027
Eurostyle Group Pty Ltd,South Australia Regional DAMA,11-Aug-2022,10-Aug-2027
Evolve Talent Pty Ltd,Industry - On-Hire,01-Nov-2022,31-Oct-2027
Ewin Early Learning Centre Inc,East Kimberley DAMA,10-Oct-2022,09-Oct-2027
Exaudy Care Pty Ltd,Company Specific,20-Oct-2022,19-Oct-2027
FABTECH AUSTRALIA PTY LTD,South Australia Regional DAMA,02-Mar-2021,01-Mar-2026
FADA PTY LTD,Far North Queensland DAMA,14-Dec-2022,13-Dec-2027
FAST LABOUR HIRE MELBOURNE PTY LTD,Industry - On-Hire,02-Dec-2022,01-Dec-2027
FRESH CHOICE PTY LTD,Industry - Horticulture,11-May-2021,10-May-2026
FIRST CHOICE CARE PTY LTD,Industry - On-Hire,14-Oct-2022,13-Oct-2027
Five Seasons VI (A) Pty Ltd,Far North Queensland DAMA,28-Sep-2022,27-Sep-2027
Forte Marketing Pty Ltd,Far North Queensland DAMA,22-Nov-2022,21-Nov-2027
Foxtel Management Pty Limited,Skilled Refugee Pilot,24-Oct-2022,23-Oct-2027
FRYDAYS FISH & CHIPPERY PTY LTD,Far North Queensland DAMA,03-Nov-2022,02-Nov-2027
GAG RILEY (CAIRNS) BUSINESS COMPANY PTY LTD,Far North Queensland DAMA,05-Dec-2022,04-Dec-2027
Galati Nominees Pty Ltd,South West DAMA,04-Oct-2022,03-Oct-2027
Garman Nominees Pty Ltd,Pilbara DAMA,13-Dec-2022,12-Dec-2027
GENEROCITY CHURCH LIMITED,Industry - Minister of Religion,11-Jan-2023,10-Jan-2028
GEOVERT GROUND ENGINEERING PTY LTD,Company Specific,15-Dec-2022,14-Dec-2027
GILLEN CLUB INCORPORATED,Northern Territory DAMA,03-Jan-2023,02-Jan-2028
GLENARTY ROAD FARMS PTY LTD,South West DAMA,05-Jan-2023,04-Jan-2028
Globalscope Brisbane: The Garden Ltd,Industry - Minister of Religion,18-Aug-2022,17-Aug-2027
GOLD FIELDS AUSTRALIA PTY LTD,Goldfields DAMA,25-Oct-2022,24-Oct-2027
GOOD FORTUNE CAIRNS PTY LTD,Far North Queensland DAMA,28-Sep-2022,27-Sep-2027
GOOD THINGS IN LIFE PTY LTD,South West DAMA,09-Jan-2023,08-Jan-2028
GOOD TURN SERVICES PTY LTD,Pilbara DAMA,04-Oct-2022,03-Oct-2027
GOODSTART EARLY LEARNING LTD,Far North Queensland DAMA,08-Sep-2022,07-Sep-2027
GOODSTART EARLY LEARNING LTD,Northern Territory DAMA,29-Sep-2021,28-Sep-2026
GOTECH SOLUTIONS PTY LTD,Industry - On-Hire,17-Aug-2022,16-Aug-2027
Granite Engineering and Manufacturing Co Pty Ltd,Far North Queensland DAMA,04-Jan-2023,03-Jan-2028
GREENHAM TASMANIA PTY LTD,Industry - Meat,21-Sep-2022,20-Sep-2027
GUARDIAN COMMUNITY EARLY LEARNING CENTRES PTY LTD,Company Specific,17-Nov-2022,16-Nov-2027
GULF ENTERPRISES PTY LTD,Far North Queensland DAMA,12-Dec-2022,11-Dec-2027
H A Gill Pty Ltd,Far North Queensland DAMA,21-Nov-2022,20-Nov-2027
HALIKOS HOSPITALITY PTY LTD,Northern Territory DAMA,16-Sep-2022,15-Sep-2027
Harvest Community Church Perth Inc,Industry - Minister of Religion,01-Dec-2022,30-Nov-2027
HATCH PTY LTD,Skilled Refugee Pilot,05-Sep-2022,04-Sep-2027
HEH Civil Pty Ltd,Far North Queensland DAMA,15-Nov-2022,14-Nov-2027
Hindu Ahlaya Sangam Qld Inc.,Industry - Minister of Religion,31-Oct-2022,30-Oct-2027
Hispec Heavy Haulage Pty Ltd,South Australia Regional DAMA,24-Oct-2022,23-Oct-2027
HOLIDAY MASSAGE BROOME CO. PTY LTD,Northern Territory DAMA,21-Dec-2022,20-Dec-2027
HOSECO (WA) PTY LTD,Northern Territory DAMA,04-Jan-2023,03-Jan-2028
Integrity Pty Ltd,Northern Territory DAMA,14-Dec-2022,13-Dec-2027
INTERNATIONAL BUDDHIST ASSOC OF WESTERN AUSTRALIA INC,Industry - Minister of Religion,03-Jan-2023,02-Jan-2028
J AN R JENKINS PTY LTD,Northern Territory DAMA,06-Jan-2023,05-Jan-2028
Jade Dental Laboratory Pty Ltd,Company Specific,14-Nov-2022,13-Nov-2027
JMD Operations Pty Ltd,Pilbara DAMA,05-Dec-2022,04-Dec-2027
Journey Recruitment Pty Ltd,Industry - On-Hire,21-Sep-2022,20-Sep-2027
Kaefer Integrated Services Pty Ltd,Company Specific,10-Aug-2022,09-Aug-2027
Kaleden Farms Pty Ltd,Industry - Dairy,21-Sep-2022,20-Sep-2027
Kalgoorlie Creche Inc,Goldfields DAMA,04-Oct-2022,03-Oct-2027
KEMPE SERVICES PTY LTD,Pilbara DAMA,30-Nov-2022,29-Nov-2027
Khmer Buddhist Association of SA Inc,Industry - Minister of Religion,29-Nov-2022,27-Nov-2027
KI PROFESSIONALS PTY LTD,Northern Territory DAMA,19-Oct-2022,18-Oct-2027
Kilcoy Pastoral Company Limited,Industry - Meat,18-Mar-2022,17-Mar-2027
Kimberley Manufacturing Pty Ltd,Skilled Refugee Pilot,20-Dec-2022,19-Dec-2027
KOOYONG PTY LTD,Northern Territory DAMA,14-Dec-2022,13-Dec-2027
KOREAN CANAAN PRESBYTERIAN CHURCH,Industry - Minister of Religion,21-Nov-2022,20-Nov-2027
KR & V McBride & Co Pty Ltd,South Australia Regional DAMA,08-Nov-2022,07-Nov-2027
Kylie's International Pty Ltd,Northern Territory DAMA,05-Oct-2022,04-Oct-2027
LAKELAND ROADHOUSE,Far North Queensland DAMA,04-Nov-2022,03-Nov-2027
LE MARMITON PTY LTD,Industry – Premium Dining,27-Oct-2022,26-Oct-2027
LEADWOOD PTY LTD,Far North Queensland DAMA,19-Oct-2022,18-Oct-2027
LINDALE PASTORAL COMPANY PTY LTD,Industry - Dairy,04-Nov-2022,03-Nov-2027
LUTHERAN CHURCH OF AUSTRALIA INC.,Industry - Minister of Religion,08-Oct-2021,07-Oct-2026
MACA Mining Pty Ltd,Company Specific,24-Aug-2022,23-Aug-2027
Macleay River Meats,Industry - Meat,05-Oct-2022,04-Oct-2027
Magnus Recruitment Solutions Pty Ltd,Industry - On-Hire,10-Nov-2022,09-Nov-2027
MAHAMEVNAWA BUDDHIST MONASTERY OF MELBOURNE,Industry - Minister of Religion,25-Nov-2022,24-Nov-2027
MANTRA HOSPITALITY ADMIN PTY LTD,Townsville DAMA,05-Jul-2023,04-Jul-2028
MARAIS ENTERPRISES PTY LTD,Company Specific,21-Mar-2022,20-Mar-2027
MC Peters Pty Ltd,Northern Territory DAMA,16-Dec-2022,15-Dec-2027
MCMAHON FAMILY ENTERPRISES PTY LTD,Industry - Pork,03-Jan-2023,02-Jan-2028
Mexican Express PTY LTD,South Australia Regional DAMA,09-Sep-2022,08-Sep-2027
MHS (NT) Pty Ltd,Northern Territory DAMA,11-Nov-2022,10-Nov-2027
Mika.Two Pty Ltd,Far North Queensland DAMA,05-Oct-2022,04-Oct-2027
Mike Ball Dive Expeditions Pty. Limited,Far North Queensland DAMA,30-Nov-2022,29-Nov-2027
MILC NOMINEES PTY LTD ATF JESSOP FAMILY TRUST,Pilbara DAMA,21-Dec-2022,20-Dec-2027
MILLVILLE CHILDCARE CENTRE PTY LTD,Great South Coast DAMA,27-Oct-2022,26-Oct-2027
Millwood Holdings Pty Ltd,South West DAMA,05-Aug-2022,04-Aug-2027
Minghui Education Pty Ltd,Company Specific,18-Oct-2022,17-Oct-2027
Mofo Fishing Pty Ltd,Industry - Fishing,09-Sep-2022,08-Sep-2027
MONK AG SERVICES PTY LTD,Great South Coast DAMA,27-Nov-2022,26-Nov-2027
MT BOOTHBY PASTORAL CO PTY LIMITED,South Australia Regional DAMA,31-Jan-2022,30-Jan-2027
MU DE CULTURAL AND EDUCATIONAL FOUNDATION INC,Industry - Minister of Religion,03-Aug-2022,02-Aug-2027
MY GUARDIAN GROUP PTY. LTD.,Company Specific,13-Dec-2022,12-Dec-2027
N& N De Palma Pty Ltd,Industry - Horticulture,25-Oct-2022,24-Oct-2027
NICKANDDAN PTY LTD,Orana DAMA,19-Oct-2022,18-Oct-2027
NORDENT PTY LTD & T TRAN,Northern Territory DAMA,29-Sep-2022,28-Sep-2027
North West Constructions Pty Ltd,Northern Territory DAMA,27-Nov-2022,26-Nov-2027
Northbridge IT Recruitment Pty Ltd,Industry - On-Hire,08-Nov-2022,07-Nov-2027
Northern Projects Pty Ltd,Skilled Refugee Pilot,17-Nov-2022,16-Nov-2027
Northside Healthcare Pty Ltd,Company Specific,18-Nov-2022,17-Nov-2027
Nottus FNQ PTY LTD,Far North Queensland DAMA,17-Nov-2022,16-Nov-2027
Novus Logistics Pty Ltd,Far North Queensland DAMA,01-Sep-2022,31-Aug-2027
Ochre Catering Pty Ltd,Far North Queensland DAMA,15-Sep-2022,14-Sep-2027
ONE TREE COMMUNITY SERVICES INC,Pilbara DAMA,22-Nov-2022,21-Nov-2027
ONE TREE COMMUNITY SERVICES INC,Company Specific,02-Dec-2022,01-Dec-2027
ONICAP PTY LTD AND PURPLE GROVE PTY LTD,Company Specific,03-Aug-2022,02-Aug-2027
OS ACPM Pty Ltd,Company Specific,23-Nov-2022,22-Nov-2027
P. & N. Blumann,Goldfields DAMA,05-Oct-2022,04-Oct-2027
P. COSTI & SONS (SA) PTY LTD,South Australia Regional DAMA,05-Sep-2022,04-Sep-2027
PADDY'S (CAIRNS) PTY LTD,Far North Queensland DAMA,24-Nov-2022,23-Nov-2027
PALM FRONT ENTERPRISE PTY LTD,Far North Queensland DAMA,06-Dec-2022,05-Dec-2027
"PATANE, CARLO LEONARD",South West DAMA,01-Nov-2022,31-Oct-2027
Phoenix Nights International Pty Ltd,South West DAMA,08-Dec-2022,07-Dec-2027
Pinata Farms,Industry - Horticulture,24-Nov-2022,23-Nov-2027
PINZONE BROTHERS PTY LTD,Industry - Fishing,15-Nov-2022,14-Nov-2027
PITCHFORD PRODUCE PTY LTD,South Australia Regional DAMA,05-Aug-2022,04-Aug-2027
Plaza Wellbeing Centre Pty Ltd,Northern Territory DAMA,21-Dec-2022,20-Dec-2027
PROMPT CONTRACTING & FENCING PTY LTD,Pilbara DAMA,21-Dec-2022,20-Dec-2027
PSYCHE EUDAIMONIA PTY LTD,Townsville DAMA,23-Nov-2022,22-Nov-2027
PTM Pilbara Traffic Management Pty Ltd,Pilbara DAMA,21-Dec-2022,20-Dec-2027
PTRG Accounting Pty Ltd,Townsville DAMA,20-Dec-2022,19-Dec-2027
QRA PTY LIMITED ATF THE QUAY UNIT TRUST,Industry – Premium Dining,04-Nov-2022,03-Nov-2027
QUANG NHAT DO PTY LTD & DASHOCK PTY LTD,South West DAMA,21-Dec-2022,20-Dec-2027
QUEENSLAND VENUE CO. PTY LTD,Far North Queensland DAMA,12-Aug-2022,11-Aug-2027
R. E & P. R MCCLYMONT,Far North Queensland DAMA,22-Nov-2022,21-Nov-2027
"REGAN, LILIBETH",Northern Territory DAMA,04-Jan-2023,03-Jan-2028
RENDE-DU-VIETNAM PTY LTD,Far North Queensland DAMA,05-Oct-2022,04-Oct-2027
RIO TINTO ALUMINIUM LIMITED,Far North Queensland DAMA,28-Oct-2022,27-Oct-2027
RIVER BLEU PTY LTD,Northern Territory DAMA,17-Nov-2022,16-Nov-2027
RIVERVIEW CHURCH INCORPORATED,Industry - Minister of Religion,30-Nov-2022,29-Nov-2027
Rock Ridge Farming Pty Ltd,Far North Queensland DAMA,27-Sep-2022,26-Sep-2027
Rose Nowers Early Learning Centre Inc,Pilbara DAMA,31-Oct-2022,30-Oct-2027
RUC CEMENTATION MINING CONTRACTORS PTY LTD,Goldfields DAMA,28-Nov-2022,27-Nov-2027
SALT HOUSE PTY LTD,Far North Queensland DAMA,09-Nov-2022,08-Nov-2027
SAMOAN INDEPENDENT SEVENTH DAY ADVENTIST CHURCH WESTERN SYDNEY DIVISION INCORPORATED,Industry - Minister of Religion,30-Nov-2022,29-Nov-2027
SAVING RAINS PTY LTD,Industry - Horticulture,09-Nov-2022,08-Nov-2027
SC and CA Timms Pastoral PTY LTD - ATF - SC and CA Timms Pastoral Trust,Great South Coast DAMA,05-Aug-2022,04-Aug-2027
Seafresh Holdings Pty Ltd,Industry - Fishing,25-Oct-2022,24-Oct-2027
SERCO AUSTRALIA PTY LIMITED,Industry - On-Hire,21-Sep-2022,20-Sep-2027
SEVENTH-DAY ADVENTIST CHURCH (VICTORIAN CONFERENCE) LIMITED,Industry - Minister of Religion,20-Dec-2022,19-Dec-2027
Sheree Star Seafood Pty Ltd,Industry - Fishing,29-Sep-2022,28-Sep-2027
SHIRE OF DARDANUP,South West DAMA,29-Nov-2022,28-Nov-2027
Shire of Ravensthorpe,Goldfields DAMA,22-Dec-2022,21-Dec-2027
SILKY OAKS LODGE PTY LTD,Far North Queensland DAMA,04-Aug-2022,03-Aug-2027
SILVINIA PTY LTD,Far North Queensland DAMA,24-Aug-2022,23-Aug-2027
SKVV Pty Ltd,South West DAMA,04-Jan-2023,03-Jan-2028
Slainte Mhath (QLD) PTY LTD,Far North Queensland DAMA,25-Oct-2022,24-Oct-2027
Southern Presbyterian Church Launceston,Industry - Minister of Religion,29-Nov-2022,28-Nov-2027
SRG GLOBAL MINING (AUSTRALIA) PTY LTD,Goldfields DAMA,10-Feb-2022,09-Feb-2027
Star Consolidated Holdings Pty Ltd,Townsville DAMA,09-Jan-2023,08-Jan-2028
Sterling NT Pty Ltd,Northern Territory DAMA,29-Nov-2022,28-Nov-2027
STEWART GROUP (WA) PTY LTD,Goldfields DAMA,10-Jan-2023,09-Jan-2028
Strawberry Colour Pty Ltd,Skilled Refugee Pilot,29-Aug-2022,28-Aug-2027
Styx River Farm Pty ltd,Industry - Dairy,13-Sep-2022,12-Sep-2027
Sunnyside House Inc,Great South Coast DAMA,10-Oct-2022,09-Oct-2027
SUPREME ISLAMIC COUNCIL OF HALAL MEAT IN AUSTRALIA INC (SICHMA),Company Specific,21-Nov-2022,20-Nov-2027
T BENNING & N BENNING,Industry - Horticulture,14-Nov-2022,13-Nov-2027
T.T. Nguyen & A.Vu,South West DAMA,21-Nov-2022,20-Nov-2027
TABLEW PTY LTD as Trustee for the Lewthwaite Family Trust,Townsville DAMA,14-Oct-2022,13-Oct-2027
TAGSFOE PTY LTD,Pilbara DAMA,24-Nov-2022,23-Nov-2027
TAK OPERATIONS PTY LTD,Far North Queensland DAMA,17-Nov-2022,16-Nov-2027
TANKAL PTY LTD,Far North Queensland DAMA,06-Oct-2022,05-Oct-2027
Techforce Personnel Pty Limited,Industry - On-Hire,22-Aug-2022,21-Aug-2027
TERRACE COURT PTY LTD,Pilbara DAMA,07-Dec-2022,06-Dec-2027
Terroir Investments Pty Ltd,South West DAMA,02-Nov-2022,01-Nov-2027
TEYS AUSTRALIA NARACOORTE PTY LTD,Industry - Meat,08-May-2023,07-May-2028
The Boston Consulting Group Pty Ltd,Skilled Refugee Pilot,14-Oct-2022,13-Oct-2027
"The Department of Families, Fairness and Housing",Company Specific,11-Jan-2023,10-Jan-2028
THE FRANK WHIDDON MASONIC HOMES OF NEW SOUTH WALES,Company Specific,14-Nov-2022,13-Nov-2027
The Migration Agency Pty Ltd,Industry - On-Hire,02-Nov-2022,01-Nov-2027
THE TRUSTEE FOR PALACE HOTEL UNIT TRUST,Goldfields DAMA,11-Jan-2022,10-Jan-2027
THE TRUSTEE FOR TAN'S FAMILY TRUST,South Australia Regional DAMA,05-Dec-2022,04-Dec-2027
THE TRUSTEE FOR THE NOBLE FAMILY TRUST,Industry - Dairy,30-Nov-2022,29-Nov-2027
THE TRUSTEE FOR THE TAYASH TRUST,Great South Coast DAMA,11-Aug-2022,10-Aug-2027
The Union Pastoral Co Pty Ltd,Great South Coast DAMA,14-Mar-2023,13-Mar-2028
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),Industry - Minister of Religion,08-Oct-2021,07-Oct-2026
THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF WESTERN AUSTRALIA INCORPORATED,Pilbara DAMA,21-Mar-2023,20-Mar-2028
THI THUY GIANG NGUYEN AND CHI TRUNG NGUYEN,South West DAMA,30-Nov-2022,29-Nov-2027
TINY TOWN EARLY LEARNING CENTRE PTY LTD,Northern Territory DAMA,14-Oct-2022,13-Oct-2027
TL PANEL WORKS PTY LTD,Northern Territory DAMA,30-Nov-2022,29-Nov-2027
Total Air Pollution Control Pty. Ltd.,Company Specific,28-Sep-2022,27-Sep-2027
TRINITY GENERAL PRACTITIONERS PTY LTD,Far North Queensland DAMA,29-Aug-2022,28-Aug-2027
TRIPOD SERVICES PTY LTD,Industry - Horticulture,04-Jul-2022,03-Jul-2027
TYRE AND AUTO PTY LTD,Far North Queensland DAMA,17-Nov-2022,16-Nov-2027
Uniting Church Homes,East Kimberley DAMA,21-Dec-2022,20-Dec-2027
VASSE BAKERY PTY LTD,South West DAMA,21-Nov-2022,20-Nov-2027
VIETNAMESE CHRISTIAN CHURCH (BRISBANE),Industry - Minister of Religion,30-Nov-2022,29-Nov-2027
VINODKUMAR PANGULURI,Far North Queensland DAMA,22-Nov-2022,21-Nov-2027
VR AND KM RODWELL ATFT RODWELL FAMILY TRUS,Industry - Dairy,03-Nov-2022,02-Nov-2027
VT AP Pty Ltd,South Australia Regional DAMA,05-Dec-2022,04-Dec-2027
WAITARERE PTY LTD,Far North Queensland DAMA,14-Oct-2022,13-Oct-2027
WESFARMERS CHEMICALS ENERGY & FERTILISERS LIMITED,Skilled Refugee Pilot,01-Nov-2022,31-Oct-2027
West Australian Octopus Pty Ltd,Industry - Fishing,31-Oct-2022,30-Oct-2027
Western Australia Police Force,Company Specific,13-Sep-2022,12-Sep-2027
WICKED WENDY PTY LTD,Far North Queensland DAMA,20-Sep-2022,20-Sep-2027
Withnell Dairying Company Pty Ltd,Great South Coast DAMA,19-Oct-2021,18-Oct-2026
WOKS UP TENNANT CREEK PTY LTD,Northern Territory DAMA,10-Nov-2022,09-Nov-2027
WPCPR PTY LTD,Industry - Pork,04-Oct-2022,03-Oct-2027
Wyoming Dairy Inc,Industry - Dairy,28-Sep-2022,27-Sep-2027
YAP ASSOCIATED HOLDINGS PTY LTD,Northern Territory DAMA,11-Nov-2022,10-Nov-2027
YARDARM PTY. LIMITED,Far North Queensland DAMA,24-Nov-2022,23-Nov-2027
Yorkeys Knob Boating Club INC,Far North Queensland DAMA,28-Nov-2022,27-Nov-2027
YOUTH WITH A MISSION SUNSHINE COAST INC,Industry - Minister of Religion,23-Nov-2022,22-Nov-2027
"ZANDA, VITALIA",Far North Queensland DAMA,24-Oct-2022,23-Oct-2027
Bekaert Deslee (Aust) Pty Ltd,Company Specific,16-Sep-2024,15-Sep-2029
Andersons Alfresco Pty Ltd,Far North Queensland DAMA,09-Oct-2024,08-Oct-2029
The trustee for The Jo Sommer Family Trust,Far North Queensland DAMA,06-Jul-2024,05-Jul-2029
Reliable Nursing Agency Pty Ltd,Industry - Aged Care,08-Oct-2024,07-Oct-2029
Tall Timbers Manjimup Pty Ltd,South West DAMA,27-Sep-2024,26-Sep-2029
S & H SODHI PTY LTD,Industry - Horticulture,17-Jul-2021,16-Jul-2026
GO SOLAR GROUP PTY. LTD.,Adelaide City Tech and Innovation DAMA,11-Aug-2021,10-Aug-2026
THE HOLY SPIRIT ASSOCIATION FOR THE UNIFICATION OF WORLD CHRISTIANITY LTD.,Industry - Minister of Religion,02-Sep-2021,01-Sep-2026
ISLAMIC PRACTICE  AND DAWAH CIRCLE INCORPORATED,Industry - Minister of Religion,13-Sep-2021,12-Sep-2026
Thomas Foods International Tamworth Pty Limited,Industry - Meat,22-Sep-2021,21-Sep-2026
Clough Projects Pty Ltd,Company Specific,25-Nov-2021,24-Nov-2026
PERENTI LIMITED,Goldfields DAMA,26-Nov-2021,25-Nov-2026
DAPPER & BOSS SHOPS PTY LTD,Northern Territory DAMA,29-Nov-2021,28-Nov-2026
THE TRUSTEE FOR AGOSTINO FAMILY TRUST,Company Specific,21-Dec-2021,20-Dec-2026
SRG GLOBAL ASSET CARE PTY LTD,Company Specific,11-Jan-2022,10-Jan-2027
PROTEN PTY LIMITED,South Australia Regional DAMA,12-Jan-2022,11-Jan-2027
SARANAE FOOD PTY LTD,Northern Territory DAMA,25-Jan-2022,24-Jan-2027
Romeo's Best Vineyards PTY LTD,Industry - Horticulture,08-Feb-2022,07-Feb-2027
REGIONAL EARLY EDUCATION AND DEVELOPMENT INC,Company Specific,11-Feb-2022,10-Feb-2027
Foundations for Life Early Learning,Northern Territory DAMA,09-Mar-2022,08-Mar-2027
BUILD2GROW PTY LTD ATF THE MICHAEL NIKOLOVSKI INVESTMENT TRUST,Company Specific,11-Apr-2022,10-Apr-2027
Dongamere Farming PTY LTD,Industry - Horticulture,12-Apr-2022,11-Apr-2027
OAKHAMPTON AG PTY LTD,Great South Coast DAMA,13-Apr-2022,12-Apr-2027
JASSAR AND MANESH PTY LTD ATF JASSAR AND MANESH UNIT TRUST,Far North Queensland DAMA,16-May-2022,15-May-2027
TRINITY POINT8 F&B PTY LTD,Industry – Premium Dining,09-Jun-2022,08-Jun-2027
PACIFIC CENTER PLANET OF ADVENTURES PTY. LTD.,Skilled Refugee Pilot,20-Jun-2022,19-Jun-2027
ARC INFRASTRUCTURE EMPLOYMENT PTY LTD,Company Specific,29-Jun-2022,28-Jun-2027
